Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13
sample6289_S144_L001_R1_001	(28.0, 1.0)	(29.0, 3.0)	(30.0, 8.0)	(31.0, 20.0)	(32.0, 54.0)	(33.0, 139.0)	(34.0, 253.0)	(35.0, 460.0)	(36.0, 1026.0)	(37.0, 5704.0)				
sample6289_S144_L001_R2_001	(28.0, 9.0)	(29.0, 16.0)	(30.0, 41.0)	(31.0, 108.0)	(32.0, 217.0)	(33.0, 383.0)	(34.0, 694.0)	(35.0, 1215.0)	(36.0, 2703.0)	(37.0, 2282.0)				
sample6290_S145_L001_R1_001	(27.0, 1.0)	(28.0, 6.0)	(29.0, 27.0)	(30.0, 93.0)	(31.0, 330.0)	(32.0, 769.0)	(33.0, 1591.0)	(34.0, 2912.0)	(35.0, 4931.0)	(36.0, 9598.0)	(37.0, 51411.0)			
sample6290_S145_L001_R2_001	(26.0, 3.0)	(27.0, 12.0)	(28.0, 55.0)	(29.0, 192.0)	(30.0, 424.0)	(31.0, 906.0)	(32.0, 1685.0)	(33.0, 3020.0)	(34.0, 5177.0)	(35.0, 9662.0)	(36.0, 23717.0)	(37.0, 26816.0)		
sample6291_S146_L001_R1_001	(29.0, 14.0)	(30.0, 47.0)	(31.0, 147.0)	(32.0, 377.0)	(33.0, 715.0)	(34.0, 1316.0)	(35.0, 2218.0)	(36.0, 4372.0)	(37.0, 20723.0)					
sample6291_S146_L001_R2_001	(26.0, 1.0)	(27.0, 9.0)	(28.0, 28.0)	(29.0, 65.0)	(30.0, 182.0)	(31.0, 371.0)	(32.0, 700.0)	(33.0, 1369.0)	(34.0, 2442.0)	(35.0, 4548.0)	(36.0, 10024.0)	(37.0, 10190.0)		
sample6292_S147_L001_R1_001	(28.0, 3.0)	(29.0, 15.0)	(30.0, 60.0)	(31.0, 173.0)	(32.0, 483.0)	(33.0, 937.0)	(34.0, 1764.0)	(35.0, 3011.0)	(36.0, 6109.0)	(37.0, 29984.0)				
sample6292_S147_L001_R2_001	(27.0, 6.0)	(28.0, 32.0)	(29.0, 96.0)	(30.0, 218.0)	(31.0, 495.0)	(32.0, 1038.0)	(33.0, 1852.0)	(34.0, 3293.0)	(35.0, 6104.0)	(36.0, 14707.0)	(37.0, 14698.0)			
sample6293_S148_L001_R1_001	(28.0, 5.0)	(29.0, 14.0)	(30.0, 96.0)	(31.0, 283.0)	(32.0, 756.0)	(33.0, 1617.0)	(34.0, 3002.0)	(35.0, 5201.0)	(36.0, 10184.0)	(37.0, 50016.0)				
sample6293_S148_L001_R2_001	(25.0, 1.0)	(26.0, 1.0)	(27.0, 15.0)	(28.0, 42.0)	(29.0, 146.0)	(30.0, 452.0)	(31.0, 991.0)	(32.0, 1821.0)	(33.0, 3387.0)	(34.0, 5759.0)	(35.0, 10900.0)	(36.0, 24890.0)	(37.0, 22769.0)	
sample6294_S149_L001_R1_001	(28.0, 3.0)	(29.0, 18.0)	(30.0, 81.0)	(31.0, 258.0)	(32.0, 651.0)	(33.0, 1209.0)	(34.0, 2263.0)	(35.0, 4043.0)	(36.0, 7703.0)	(37.0, 40897.0)				
sample6294_S149_L001_R2_001	(25.0, 1.0)	(26.0, 4.0)	(27.0, 12.0)	(28.0, 38.0)	(29.0, 154.0)	(30.0, 359.0)	(31.0, 670.0)	(32.0, 1408.0)	(33.0, 2504.0)	(34.0, 4360.0)	(35.0, 8086.0)	(36.0, 18866.0)	(37.0, 20664.0)	
sample6615_S140_L001_R1_001	(31.0, 1.0)	(32.0, 11.0)	(33.0, 26.0)	(34.0, 55.0)	(35.0, 89.0)	(36.0, 244.0)	(37.0, 807.0)							
sample6615_S140_L001_R2_001	(28.0, 1.0)	(29.0, 3.0)	(30.0, 5.0)	(31.0, 10.0)	(32.0, 25.0)	(33.0, 42.0)	(34.0, 74.0)	(35.0, 202.0)	(36.0, 481.0)	(37.0, 390.0)				
sample6616_S141_L001_R1_001	(30.0, 1.0)	(31.0, 1.0)	(32.0, 8.0)	(33.0, 5.0)	(34.0, 16.0)	(35.0, 30.0)	(36.0, 39.0)	(37.0, 160.0)						
sample6616_S141_L001_R2_001	(28.0, 1.0)	(29.0, 2.0)	(30.0, 1.0)	(31.0, 1.0)	(32.0, 8.0)	(33.0, 13.0)	(34.0, 16.0)	(35.0, 31.0)	(36.0, 56.0)	(37.0, 131.0)				
sample6617_S142_L001_R1_001	(29.0, 1.0)	(30.0, 2.0)	(31.0, 4.0)	(32.0, 23.0)	(33.0, 49.0)	(34.0, 100.0)	(35.0, 197.0)	(36.0, 411.0)	(37.0, 1550.0)					
sample6617_S142_L001_R2_001	(29.0, 3.0)	(30.0, 5.0)	(31.0, 29.0)	(32.0, 24.0)	(33.0, 88.0)	(34.0, 148.0)	(35.0, 361.0)	(36.0, 967.0)	(37.0, 712.0)					
sample6618_S143_L001_R1_001	(29.0, 2.0)	(30.0, 4.0)	(31.0, 7.0)	(32.0, 24.0)	(33.0, 58.0)	(34.0, 107.0)	(35.0, 227.0)	(36.0, 471.0)	(37.0, 1412.0)					
sample6618_S143_L001_R2_001	(28.0, 1.0)	(29.0, 5.0)	(30.0, 6.0)	(31.0, 25.0)	(32.0, 52.0)	(33.0, 98.0)	(34.0, 186.0)	(35.0, 380.0)	(36.0, 931.0)	(37.0, 628.0)				
sample6619_S144_L001_R1_001	(29.0, 1.0)	(30.0, 1.0)	(31.0, 9.0)	(32.0, 13.0)	(33.0, 35.0)	(34.0, 78.0)	(35.0, 137.0)	(36.0, 317.0)	(37.0, 891.0)					
sample6619_S144_L001_R2_001	(29.0, 2.0)	(30.0, 9.0)	(31.0, 14.0)	(32.0, 33.0)	(33.0, 51.0)	(34.0, 106.0)	(35.0, 221.0)	(36.0, 594.0)	(37.0, 452.0)					
sample6620_S145_L001_R1_001	(26.0, 1.0)	(27.0, 0.0)	(28.0, 3.0)	(29.0, 29.0)	(30.0, 74.0)	(31.0, 255.0)	(32.0, 706.0)	(33.0, 1801.0)	(34.0, 4079.0)	(35.0, 7660.0)	(36.0, 17103.0)	(37.0, 58464.0)		
sample6620_S145_L001_R2_001	(26.0, 7.0)	(27.0, 25.0)	(28.0, 90.0)	(29.0, 154.0)	(30.0, 387.0)	(31.0, 783.0)	(32.0, 1536.0)	(33.0, 3013.0)	(34.0, 5908.0)	(35.0, 12532.0)	(36.0, 35051.0)	(37.0, 30689.0)		
sample6621_S146_L001_R1_001	(28.0, 1.0)	(29.0, 11.0)	(30.0, 51.0)	(31.0, 203.0)	(32.0, 630.0)	(33.0, 1704.0)	(34.0, 3842.0)	(35.0, 7304.0)	(36.0, 16142.0)	(37.0, 57006.0)				
sample6621_S146_L001_R2_001	(26.0, 1.0)	(27.0, 23.0)	(28.0, 66.0)	(29.0, 193.0)	(30.0, 361.0)	(31.0, 818.0)	(32.0, 1690.0)	(33.0, 3202.0)	(34.0, 5935.0)	(35.0, 11975.0)	(36.0, 32595.0)	(37.0, 30035.0)		
sample6622_S147_L001_R1_001	(29.0, 8.0)	(30.0, 25.0)	(31.0, 102.0)	(32.0, 299.0)	(33.0, 748.0)	(34.0, 1633.0)	(35.0, 3110.0)	(36.0, 7092.0)	(37.0, 24346.0)					
sample6622_S147_L001_R2_001	(26.0, 1.0)	(27.0, 6.0)	(28.0, 20.0)	(29.0, 60.0)	(30.0, 150.0)	(31.0, 337.0)	(32.0, 670.0)	(33.0, 1313.0)	(34.0, 2607.0)	(35.0, 5933.0)	(36.0, 16290.0)	(37.0, 9976.0)		
sample6623_S148_L001_R1_001	(26.0, 1.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 14.0)	(30.0, 65.0)	(31.0, 204.0)	(32.0, 633.0)	(33.0, 1772.0)	(34.0, 3941.0)	(35.0, 8001.0)	(36.0, 18201.0)	(37.0, 57624.0)		
sample6623_S148_L001_R2_001	(26.0, 4.0)	(27.0, 19.0)	(28.0, 51.0)	(29.0, 150.0)	(30.0, 368.0)	(31.0, 758.0)	(32.0, 1667.0)	(33.0, 3264.0)	(34.0, 6408.0)	(35.0, 14560.0)	(36.0, 35339.0)	(37.0, 27868.0)		
sample6624_S149_L001_R1_001	(28.0, 2.0)	(29.0, 15.0)	(30.0, 64.0)	(31.0, 258.0)	(32.0, 645.0)	(33.0, 1780.0)	(34.0, 3725.0)	(35.0, 7439.0)	(36.0, 15765.0)	(37.0, 55919.0)				
sample6624_S149_L001_R2_001	(26.0, 1.0)	(27.0, 10.0)	(28.0, 46.0)	(29.0, 119.0)	(30.0, 298.0)	(31.0, 683.0)	(32.0, 1530.0)	(33.0, 2977.0)	(34.0, 5533.0)	(35.0, 11280.0)	(36.0, 30136.0)	(37.0, 32999.0)		
