Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample6620_S145_L001_R1_001	97.81757693373996	47.0	238.45884114222346	251	36.36363636363637	0.09017499999999999
sample6620_S145_L001_R2_001	98.8533407263654	46.0	225.6604713057943	242	36.36363636363637	0.09017499999999999
sample6621_S146_L001_R1_001	97.85485764264506	41.0	233.2231224250236	251	36.36363636363637	0.086894
sample6621_S146_L001_R2_001	98.18399429189587	41.0	222.99131125279075	247	36.36363636363637	0.086894
sample6622_S147_L001_R1_001	97.16564515697348	54.0	238.40732810534487	251	45.45454545454545	0.037363
sample6622_S147_L001_R2_001	98.00604876482082	52.0	220.49993308888472	232	36.36363636363637	0.037363
sample6623_S148_L001_R1_001	97.53581851950119	49.0	237.48057619173963	251	36.36363636363637	0.090456
sample6623_S148_L001_R2_001	98.34173520827805	48.0	221.43217697001856	242	36.36363636363637	0.090456
sample6624_S149_L001_R1_001	98.19184226510302	44.0	238.63348595991215	251	36.36363636363637	0.085612
sample6624_S149_L001_R2_001	98.7256459374854	43.0	228.8577652665514	247	36.36363636363637	0.085612
