Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample12840_S55_L001_R1_001	sample12840_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107634.0	11.8 Mbp	0.0	35-250	54.0	4.512514632922683	111.89330973484215	37	pass	fail	fail	fail	fail	fail	fail	warn	fail	fail	pass
sample12840_S55_L001_R2_001	sample12840_S55_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107634.0	11.8 Mbp	0.0	35-250	53.0	9.204340635858557	111.05104335061412	37	pass	fail	warn	fail	fail	fail	fail	warn	fail	fail	pass
sample12841_S56_L001_R1_001	sample12841_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68695.0	15.9 Mbp	0.0	35-250	54.0	4.166242084576752	233.39461387291652	250	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
sample12841_S56_L001_R2_001	sample12841_S56_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68695.0	16 Mbp	0.0	35-250	53.0	12.833539558919863	233.7708712424485	250	pass	pass	warn	pass	fail	fail	warn	warn	fail	fail	pass
sample12842_S57_L001_R1_001	sample12842_S57_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86760.0	17.5 Mbp	0.0	35-250	55.0	5.573997233748272	203.54337828492393	250	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
sample12842_S57_L001_R2_001	sample12842_S57_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86760.0	17.6 Mbp	0.0	35-250	53.0	15.212079299216228	204.68808206546797	250	pass	warn	warn	pass	fail	fail	warn	warn	fail	fail	pass
sample12843_S58_L001_R1_001	sample12843_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51279.0	10.8 Mbp	0.0	35-250	54.0	5.312116070906219	211.74266268842996	250	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
sample12843_S58_L001_R2_001	sample12843_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51279.0	10.8 Mbp	0.0	35-250	53.0	16.191813412898068	212.94881920474268	250	pass	warn	warn	pass	fail	fail	warn	warn	fail	fail	pass
sample12844_S59_L001_R1_001	sample12844_S59_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66137.0	14.4 Mbp	0.0	35-250	55.0	4.573839152063142	218.92724193719098	250	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
sample12844_S59_L001_R2_001	sample12844_S59_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66137.0	14.5 Mbp	0.0	35-250	53.0	14.920543719854242	220.0058212498299	250	pass	warn	warn	pass	fail	fail	warn	warn	fail	fail	pass
sample12973_S188_L001_R1_001	sample12973_S188_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	726.0	157.8 kbp	0.0	35-250	50.0	26.446280991735538	217.76652892561984	250	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12973_S188_L001_R2_001	sample12973_S188_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	726.0	158.7 kbp	0.0	35-250	50.0	25.344352617079892	218.8030303030303	250	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12974_S189_L001_R1_001	sample12974_S189_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	923.0	226.9 kbp	0.0	35-250	51.0	18.85157096424702	246.0530877573131	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12974_S189_L001_R2_001	sample12974_S189_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	923.0	227.3 kbp	0.0	35-250	51.0	20.36836403033586	246.39490790899242	250	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12975_S190_L001_R1_001	sample12975_S190_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1347.0	335.6 kbp	0.0	43-250	50.0	11.729769858945806	249.56347438752783	250	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12975_S190_L001_R2_001	sample12975_S190_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1347.0	334.7 kbp	0.0	43-250	50.0	12.175204157386785	247.29510022271714	247	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13079_S41_L001_R1_001	sample13079_S41_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132203.0	31.9 Mbp	0.0	35-250	56.0	8.720679560978192	240.66442894639306	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13079_S41_L001_R2_001	sample13079_S41_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132203.0	32 Mbp	0.0	35-250	56.0	20.63644546644176	240.82522333078674	247	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13080_S42_L001_R1_001	sample13080_S42_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	185638.0	44 Mbp	0.0	35-250	56.0	8.201445824669518	236.5280707613743	247	pass	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass
sample13080_S42_L001_R2_001	sample13080_S42_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	185638.0	44.2 Mbp	0.0	35-250	56.0	17.782997015697216	237.2793851474375	247	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
sample13081_S43_L001_R1_001	sample13081_S43_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107234.0	26.3 Mbp	0.0	35-250	56.0	9.178991737695135	244.96464274390584	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13081_S43_L001_R2_001	sample13081_S43_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107234.0	26.5 Mbp	0.0	35-250	55.0	17.41332040211127	247.43951545218866	250	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13082_S44_L001_R1_001	sample13082_S44_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120551.0	29.7 Mbp	0.0	35-250	56.0	8.986238189645876	246.03274132939586	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13082_S44_L001_R2_001	sample13082_S44_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120551.0	29.8 Mbp	0.0	35-250	56.0	18.230458478154475	246.04739902613832	247	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13083_S45_L001_R1_001	sample13083_S45_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145582.0	36 Mbp	0.0	35-250	56.0	7.9645835336786135	246.6218660273935	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13083_S45_L001_R2_001	sample13083_S45_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145582.0	36.2 Mbp	0.0	35-250	55.0	19.09920182440137	249.6987230564218	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
sample13084_S46_L001_R1_001	sample13084_S46_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134297.0	33.1 Mbp	0.0	35-250	56.0	8.80808953290096	246.09097746040493	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
