Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample13230_S46_L001_R1_001	95.08022361440783	54.0	248.71897090677976	250	36.36363636363637	0.077097
sample13230_S46_L001_R2_001	91.10600931294343	53.0	249.04148021323786	250	36.36363636363637	0.077097
sample13231_S47_L001_R1_001	96.28868412512661	54.0	248.8175417203434	250	36.36363636363637	0.101689
sample13231_S47_L001_R2_001	94.92570484516516	53.0	249.69774016855314	250	36.36363636363637	0.101689
sample13232_S48_L001_R1_001	97.03213481612882	56.0	249.43619089854678	250	36.36363636363637	0.234512
sample13232_S48_L001_R2_001	95.77932046121308	55.0	249.3682071706352	250	45.45454545454545	0.234512
sample13233_S49_L001_R1_001	97.59046759612767	55.0	249.1403649407028	250	36.36363636363637	0.749108
sample13233_S49_L001_R2_001	96.9715982208173	55.0	249.25269987772123	250	36.36363636363637	0.749108
sample13234_S50_L001_R1_001	92.25329926138551	55.0	248.8452935204957	250	36.36363636363637	0.028567
sample13234_S50_L001_R2_001	91.98025693982568	55.0	248.99723457135855	250	36.36363636363637	0.028567
