Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample12974_S189_L001_R1_001	(1.0, 14.517876489707476)	(2.0, 3.9003250270855903)	(3.0, 1.6251354279523293)	(4.0, 1.3001083423618636)	(5.0, 0.5417118093174431)	(6.0, 0.0)	(7.0, 0.7583965330444203)	(8.0, 0.8667388949079089)	(9.0, 0.0)	('>10', 27.302275189599136)	('>50', 6.825568797399784)	('>100', 42.36186348862405)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12974_S189_L001_R2_001	(1.0, 18.201516793066087)	(2.0, 2.600216684723727)	(3.0, 0.3250270855904659)	(4.0, 0.8667388949079089)	(5.0, 0.5417118093174431)	(6.0, 0.0)	(7.0, 1.5167930660888407)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 12.026002166847237)	('>500', 63.92199349945828)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12975_S190_L001_R1_001	(1.0, 8.68596881959911)	(2.0, 3.414996288047513)	(3.0, 0.22271714922048996)	(4.0, 1.1878247958426131)	(5.0, 0.3711952487008166)	(6.0, 0.8908685968819599)	(7.0, 1.0393466963622866)	(8.0, 0.0)	(9.0, 0.0)	('>10', 7.423904974016332)	('>50', 9.651076466221232)	('>100', 67.11210096510764)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12975_S190_L001_R2_001	(1.0, 9.948032665181886)	(2.0, 2.2271714922048997)	(3.0, 2.2271714922048997)	(4.0, 0.2969561989606533)	(5.0, 0.3711952487008166)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 4.380103934669636)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 80.5493689680772)	('>5k', 0.0)	('>10k+', 0.0)
sample13079_S41_L001_R1_001	(1.0, 6.272928753507863)	(2.0, 1.9364159663547726)	(3.0, 1.1368879677465715)	(4.0, 0.7049764377510345)	(5.0, 0.586219677314433)	(6.0, 0.5310015657738478)	(7.0, 0.4182961052321052)	(8.0, 0.3751805934812372)	(9.0, 0.3063470571772199)	('>10', 8.430217166024976)	('>50', 5.651914101797993)	('>100', 16.746972459021354)	('>500', 11.07236598261764)	('>1k', 45.83027616619895)	('>5k', 0.0)	('>10k+', 0.0)
sample13079_S41_L001_R2_001	(1.0, 17.485231046194112)	(2.0, 2.487084256786911)	(3.0, 1.3206962020529034)	(4.0, 0.9500540834928103)	(5.0, 0.9228232339659463)	(6.0, 0.6399249638813037)	(7.0, 0.5294887408001331)	(8.0, 0.4720013917989758)	(9.0, 0.4969630038652678)	('>10', 9.70552861886644)	('>50', 9.330348025385202)	('>100', 38.83119142530805)	('>500', 13.737207173816026)	('>1k', 3.09145783378592)	('>5k', 0.0)	('>10k+', 0.0)
sample13080_S42_L001_R1_001	(1.0, 5.927665671899073)	(2.0, 1.8142837134638383)	(3.0, 1.0471993880563246)	(4.0, 0.7757032504120923)	(5.0, 0.5763906096812075)	(6.0, 0.439565175233519)	(7.0, 0.4260981049138646)	(8.0, 0.38785162520604616)	(9.0, 0.33452202674021486)	('>10', 6.607483381635225)	('>50', 4.844374535386074)	('>100', 15.489285598853684)	('>500', 11.321496676327044)	('>1k', 41.982245014490566)	('>5k', 8.025835227701226)	('>10k+', 0.0)
sample13080_S42_L001_R2_001	(1.0, 15.219944192460597)	(2.0, 2.1471896917656945)	(3.0, 1.0843685021385707)	(4.0, 0.8015600254258287)	(5.0, 0.673353515982719)	(6.0, 0.5074392096445771)	(7.0, 0.4260981049138646)	(8.0, 0.2973529126579687)	(9.0, 0.2957368642196102)	('>10', 7.522705480558938)	('>50', 6.42379254247514)	('>100', 25.51794352449391)	('>500', 22.710328704252362)	('>1k', 11.240694254409119)	('>5k', 5.131492474601106)	('>10k+', 0.0)
sample13081_S43_L001_R1_001	(1.0, 6.673256616371673)	(2.0, 1.965794430870806)	(3.0, 1.1330361639032398)	(4.0, 0.7460320420762071)	(5.0, 0.615476434712871)	(6.0, 0.49238114777029673)	(7.0, 0.3916668220900088)	(8.0, 0.43269858440420017)	(9.0, 0.41964302366786654)	('>10', 8.44788033646045)	('>50', 4.7027994852378905)	('>100', 21.91935393625156)	('>500', 10.423932707909806)	('>1k', 41.63604826827312)	('>5k', 0.0)	('>10k+', 0.0)
sample13081_S43_L001_R2_001	(1.0, 14.928101161944907)	(2.0, 2.066508756551094)	(3.0, 1.102262342167596)	(4.0, 0.5856351530298226)	(5.0, 0.4662700262976295)	(6.0, 0.414047783352295)	(7.0, 0.33944457914467424)	(8.0, 0.2611112147266725)	(9.0, 0.1846429304138613)	('>10', 9.459686293526307)	('>50', 8.863793199917938)	('>100', 25.265307644963354)	('>500', 23.413283100509165)	('>1k', 12.649905813454687)	('>5k', 0.0)	('>10k+', 0.0)
