#Classification	sample12835	sample12836	sample12837	sample12838	sample12839	sample12840	sample12841	sample12842	sample12843	sample12844	sample12973	sample12974	sample12975	sample13079	sample13080	sample13081	sample13082	sample13083	sample13084	sample13085	sample13086	sample13087	sample13088	sample13225	sample13226	sample13227	sample13228	sample13229	sample13230	sample13231	sample13232	sample13233	sample13234	sample5278	sample5279	sample5280	sample5281	sample5282	sample5428	sample5429	sample5430	sample5431	sample5432	sample5926	sample5927	sample5928	sample5929	sample5930	sample6076	sample6077	sample6078	sample6079	sample6080	sample6285	sample6286	sample6287	sample6288	sample6289	sample6290	sample6291	sample6292	sample6293	sample6294	sample6615	sample6616	sample6617	sample6618	sample6619	sample6620	sample6621	sample6622	sample6623	sample6624
Vandammella	0	0	56	0	12	0	0	11	0	20	0	0	0	20	31	0	88	9	76	9	70	51	54	0	0	0	0	0	0	0	0	0	0	0	7	0	15	22	0	0	0	0	0	17	0	9	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	28	552	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga	0	0	1	0	32	0	0	0	0	0	0	0	0	0	24	0	1	0	37	0	1	0	72	0	0	0	0	0	0	0	0	0	0	0	18	34	1	1	0	0	0	0	0	11	11	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ramlibacter	0	0	555	0	0	0	0	0	0	0	0	0	0	43	155	0	48	64	0	0	0	42	177	0	0	0	0	0	0	0	0	0	0	27	336	402	370	298	0	0	0	0	0	26	51	53	238	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limnohabitans	0	0	15	0	0	0	0	244	4	17	0	0	0	19	35	85	126	58	32	184	34	77	53	0	0	0	0	0	1	0	0	0	0	50	29	33	29	71	0	0	0	0	0	45	36	38	35	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax	1	4	52	19	35	57	234	6	106	24	0	1	0	56	127	255	230	311	185	306	272	239	100	0	0	6	0	0	0	0	0	0	0	145	279	239	344	801	0	0	0	0	1	366	203	163	222	674	0	0	0	1	1	149	137	18	16	24	864	2082	205	653	397	0	0	0	0	0	0	1	1	0	0
Comamonas	2	2	136	0	0	0	1	75	1	64	0	0	0	20	99	104	350	98	433	92	288	597	133	0	0	0	0	0	0	0	0	0	0	92	2	52	3	125	0	0	0	0	0	52	31	58	11	34	0	0	0	0	0	1	0	2	0	1	14	12	5	59	1	0	0	0	0	0	0	0	0	0	0
Herminiimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	5	32	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	7	15	0	1	3	0	0	0	0	0	7	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0
Candidatus_Zinderia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Undibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	2	9	10	2	0	0	0	0	0	0	1	4	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	85	82	28	13	30	15	21	52	5	4	0	0	0	0	1	0	0	0	0	0	12	31	24	28	13	0	0	0	0	0	19	33	55	15	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
