Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample12974_S189_L001_R1_001	(1.0, 10.091743119266056)	(2.0, 2.0969855832241153)	(3.0, 1.1795543905635648)	(4.0, 1.0484927916120577)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.9174311926605505)	(8.0, 0.0)	(9.0, 1.1795543905635648)	('>10', 27.78505897771953)	('>50', 7.601572739187418)	('>100', 48.099606815203146)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12974_S189_L001_R2_001	(1.0, 7.077326343381389)	(2.0, 2.8833551769331587)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.655307994757536)	(6.0, 0.0)	(7.0, 0.9174311926605505)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 14.154652686762779)	('>500', 74.31192660550458)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12975_S190_L001_R1_001	(1.0, 7.413509060955518)	(2.0, 2.800658978583196)	(3.0, 0.4942339373970346)	(4.0, 0.6589785831960462)	(5.0, 0.41186161449752884)	(6.0, 0.9884678747940692)	(7.0, 0.5766062602965404)	(8.0, 0.0)	(9.0, 0.0)	('>10', 7.660626029654035)	('>50', 9.390444810543658)	('>100', 69.60461285008238)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12975_S190_L001_R2_001	(1.0, 5.766062602965404)	(2.0, 1.8121911037891267)	(3.0, 0.9884678747940692)	(4.0, 0.0)	(5.0, 0.41186161449752884)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 4.7775947281713345)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 86.24382207578253)	('>5k', 0.0)	('>10k+', 0.0)
sample13079_S41_L001_R1_001	(1.0, 4.768000298992768)	(2.0, 1.6089548334049668)	(3.0, 1.0091005923794218)	(4.0, 0.6577840898473268)	(5.0, 0.5839702502195728)	(6.0, 0.3587913217349055)	(7.0, 0.33356380692542)	(8.0, 0.43353951376301086)	(9.0, 0.37841272214228316)	('>10', 9.095920617420065)	('>50', 5.7472016145609475)	('>100', 21.37798292003812)	('>500', 15.456057406611478)	('>1k', 38.19072001195971)	('>5k', 0.0)	('>10k+', 0.0)
sample13079_S41_L001_R2_001	(1.0, 8.03356193822062)	(2.0, 2.173303683217162)	(3.0, 1.2137237680563602)	(4.0, 1.0614243267990955)	(5.0, 0.9016500663390205)	(6.0, 0.6559153850466242)	(7.0, 0.6605871470483807)	(8.0, 0.6278848130360847)	(9.0, 0.5381869826023583)	('>10', 11.843851026853287)	('>50', 11.116924859379964)	('>100', 47.164240464933755)	('>500', 14.008745538467288)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13080_S42_L001_R1_001	(1.0, 4.500234281096571)	(2.0, 1.6026185156764614)	(3.0, 0.9208265708717294)	(4.0, 0.632898498563755)	(5.0, 0.5228882445215572)	(6.0, 0.395222023781229)	(7.0, 0.4373247135998479)	(8.0, 0.33682151854895115)	(9.0, 0.3483658044669596)	('>10', 7.113996428062122)	('>50', 5.8964138015333525)	('>100', 17.456997534955416)	('>500', 14.153973611120543)	('>1k', 45.6814184532015)	('>5k', 0.0)	('>10k+', 0.0)
sample13080_S42_L001_R2_001	(1.0, 6.227123639302182)	(2.0, 1.8769650751397198)	(3.0, 1.079730271154904)	(4.0, 0.7632810218730264)	(5.0, 0.6077726998010309)	(6.0, 0.5582001779178183)	(7.0, 0.4373247135998479)	(8.0, 0.3531193339626101)	(9.0, 0.33003076212659327)	('>10', 9.155976884265138)	('>50', 7.7903557677289665)	('>100', 31.01474273219294)	('>500', 26.976279887816705)	('>1k', 12.829097033118519)	('>5k', 0.0)	('>10k+', 0.0)
sample13081_S43_L001_R1_001	(1.0, 5.2925410647360405)	(2.0, 1.759361202860352)	(3.0, 1.0442731791946085)	(4.0, 0.5916435903424192)	(5.0, 0.5338137657224836)	(6.0, 0.48043238915023523)	(7.0, 0.4281631245899087)	(8.0, 0.39146342819648794)	(9.0, 0.3403062756480833)	('>10', 8.847963166850164)	('>50', 5.412649162023599)	('>100', 22.89616210144686)	('>500', 14.538640331854225)	('>1k', 37.442587217384535)	('>5k', 0.0)	('>10k+', 0.0)
sample13081_S43_L001_R2_001	(1.0, 6.404653076657881)	(2.0, 1.7371189626219152)	(3.0, 0.8607746972275048)	(4.0, 0.5204684215794215)	(5.0, 0.517132085543656)	(6.0, 0.41370566843492473)	(7.0, 0.3191761474215683)	(8.0, 0.25800998676586706)	(9.0, 0.31027925132619355)	('>10', 11.167828823719125)	('>50', 10.15580689287025)	('>100', 27.714943449104197)	('>500', 28.754768180251116)	('>1k', 10.865334356476385)	('>5k', 0.0)	('>10k+', 0.0)
