Sample	0	1	2	3	4	5	6	7	8	9	10	11	12
sample13083_S45_L001_R1_001	(28.0, 9.0)	(29.0, 36.0)	(30.0, 177.0)	(31.0, 543.0)	(32.0, 1392.0)	(33.0, 3115.0)	(34.0, 6081.0)	(35.0, 10501.0)	(36.0, 18553.0)	(37.0, 81940.0)			
sample13083_S45_L001_R2_001	(26.0, 4.0)	(27.0, 30.0)	(28.0, 114.0)	(29.0, 403.0)	(30.0, 956.0)	(31.0, 1978.0)	(32.0, 3836.0)	(33.0, 6640.0)	(34.0, 10625.0)	(35.0, 17650.0)	(36.0, 33636.0)	(37.0, 46475.0)	
sample13084_S46_L001_R1_001	(27.0, 3.0)	(28.0, 11.0)	(29.0, 29.0)	(30.0, 129.0)	(31.0, 412.0)	(32.0, 1112.0)	(33.0, 2615.0)	(34.0, 4914.0)	(35.0, 8771.0)	(36.0, 16181.0)	(37.0, 74727.0)		
sample13084_S46_L001_R2_001	(26.0, 3.0)	(27.0, 32.0)	(28.0, 153.0)	(29.0, 414.0)	(30.0, 1036.0)	(31.0, 2189.0)	(32.0, 3906.0)	(33.0, 6363.0)	(34.0, 10086.0)	(35.0, 16479.0)	(36.0, 30858.0)	(37.0, 37385.0)	
sample13085_S47_L001_R1_001	(28.0, 5.0)	(29.0, 40.0)	(30.0, 155.0)	(31.0, 449.0)	(32.0, 1197.0)	(33.0, 2611.0)	(34.0, 5035.0)	(35.0, 8906.0)	(36.0, 16066.0)	(37.0, 67908.0)			
sample13085_S47_L001_R2_001	(25.0, 1.0)	(26.0, 2.0)	(27.0, 29.0)	(28.0, 128.0)	(29.0, 382.0)	(30.0, 839.0)	(31.0, 1744.0)	(32.0, 3277.0)	(33.0, 5257.0)	(34.0, 8472.0)	(35.0, 13731.0)	(36.0, 27677.0)	(37.0, 40833.0)
sample13086_S48_L001_R1_001	(27.0, 1.0)	(28.0, 8.0)	(29.0, 31.0)	(30.0, 135.0)	(31.0, 436.0)	(32.0, 1219.0)	(33.0, 2704.0)	(34.0, 5037.0)	(35.0, 8704.0)	(36.0, 15397.0)	(37.0, 68195.0)		
sample13086_S48_L001_R2_001	(26.0, 4.0)	(27.0, 33.0)	(28.0, 127.0)	(29.0, 430.0)	(30.0, 959.0)	(31.0, 1876.0)	(32.0, 3370.0)	(33.0, 5458.0)	(34.0, 8896.0)	(35.0, 14449.0)	(36.0, 27902.0)	(37.0, 38363.0)	
sample13087_S49_L001_R1_001	(28.0, 10.0)	(29.0, 60.0)	(30.0, 266.0)	(31.0, 871.0)	(32.0, 2235.0)	(33.0, 4530.0)	(34.0, 7997.0)	(35.0, 13255.0)	(36.0, 22068.0)	(37.0, 81608.0)			
sample13087_S49_L001_R2_001	(26.0, 7.0)	(27.0, 27.0)	(28.0, 119.0)	(29.0, 351.0)	(30.0, 902.0)	(31.0, 1993.0)	(32.0, 3816.0)	(33.0, 6927.0)	(34.0, 11886.0)	(35.0, 19924.0)	(36.0, 38561.0)	(37.0, 48387.0)	
sample13088_S50_L001_R1_001	(27.0, 1.0)	(28.0, 10.0)	(29.0, 70.0)	(30.0, 241.0)	(31.0, 718.0)	(32.0, 1896.0)	(33.0, 3790.0)	(34.0, 6659.0)	(35.0, 10855.0)	(36.0, 18654.0)	(37.0, 70053.0)		
sample13088_S50_L001_R2_001	(25.0, 2.0)	(26.0, 2.0)	(27.0, 26.0)	(28.0, 120.0)	(29.0, 313.0)	(30.0, 811.0)	(31.0, 1841.0)	(32.0, 3516.0)	(33.0, 6086.0)	(34.0, 9730.0)	(35.0, 16522.0)	(36.0, 31812.0)	(37.0, 42166.0)
sample13225_S41_L001_R1_001	(28.0, 4.0)	(29.0, 22.0)	(30.0, 61.0)	(31.0, 327.0)	(32.0, 805.0)	(33.0, 1765.0)	(34.0, 3850.0)	(35.0, 6498.0)	(36.0, 11247.0)	(37.0, 57923.0)			
sample13225_S41_L001_R2_001	(26.0, 6.0)	(27.0, 24.0)	(28.0, 101.0)	(29.0, 217.0)	(30.0, 428.0)	(31.0, 915.0)	(32.0, 1755.0)	(33.0, 3203.0)	(34.0, 5875.0)	(35.0, 9948.0)	(36.0, 19933.0)	(37.0, 40097.0)	
sample13226_S42_L001_R1_001	(28.0, 9.0)	(29.0, 38.0)	(30.0, 147.0)	(31.0, 513.0)	(32.0, 1429.0)	(33.0, 3359.0)	(34.0, 6833.0)	(35.0, 11438.0)	(36.0, 19648.0)	(37.0, 102793.0)			
sample13226_S42_L001_R2_001	(26.0, 7.0)	(27.0, 32.0)	(28.0, 111.0)	(29.0, 289.0)	(30.0, 648.0)	(31.0, 1263.0)	(32.0, 2700.0)	(33.0, 5332.0)	(34.0, 9754.0)	(35.0, 16531.0)	(36.0, 32880.0)	(37.0, 76660.0)	
sample13227_S43_L001_R1_001	(26.0, 1.0)	(27.0, 2.0)	(28.0, 14.0)	(29.0, 110.0)	(30.0, 409.0)	(31.0, 1385.0)	(32.0, 3812.0)	(33.0, 9088.0)	(34.0, 18004.0)	(35.0, 30120.0)	(36.0, 49887.0)	(37.0, 266479.0)	
sample13227_S43_L001_R2_001	(26.0, 18.0)	(27.0, 54.0)	(28.0, 209.0)	(29.0, 588.0)	(30.0, 1411.0)	(31.0, 3166.0)	(32.0, 6573.0)	(33.0, 12913.0)	(34.0, 24028.0)	(35.0, 42478.0)	(36.0, 86149.0)	(37.0, 201724.0)	
sample13228_S44_L001_R1_001	(27.0, 2.0)	(28.0, 5.0)	(29.0, 30.0)	(30.0, 158.0)	(31.0, 445.0)	(32.0, 1279.0)	(33.0, 3155.0)	(34.0, 6470.0)	(35.0, 10582.0)	(36.0, 18308.0)	(37.0, 106275.0)		
sample13228_S44_L001_R2_001	(25.0, 1.0)	(26.0, 8.0)	(27.0, 21.0)	(28.0, 70.0)	(29.0, 222.0)	(30.0, 491.0)	(31.0, 1120.0)	(32.0, 2438.0)	(33.0, 4759.0)	(34.0, 8800.0)	(35.0, 15388.0)	(36.0, 30784.0)	(37.0, 82607.0)
sample13229_S45_L001_R1_001	(27.0, 2.0)	(28.0, 16.0)	(29.0, 64.0)	(30.0, 286.0)	(31.0, 865.0)	(32.0, 2269.0)	(33.0, 5338.0)	(34.0, 9991.0)	(35.0, 16418.0)	(36.0, 27097.0)	(37.0, 147936.0)		
sample13229_S45_L001_R2_001	(26.0, 2.0)	(27.0, 43.0)	(28.0, 118.0)	(29.0, 306.0)	(30.0, 738.0)	(31.0, 1545.0)	(32.0, 3049.0)	(33.0, 6387.0)	(34.0, 11826.0)	(35.0, 21009.0)	(36.0, 42187.0)	(37.0, 123072.0)	
sample13230_S46_L001_R1_001	(27.0, 1.0)	(28.0, 1.0)	(29.0, 15.0)	(30.0, 61.0)	(31.0, 202.0)	(32.0, 573.0)	(33.0, 1312.0)	(34.0, 2706.0)	(35.0, 4674.0)	(36.0, 8529.0)	(37.0, 50194.0)		
sample13230_S46_L001_R2_001	(26.0, 2.0)	(27.0, 15.0)	(28.0, 47.0)	(29.0, 136.0)	(30.0, 360.0)	(31.0, 739.0)	(32.0, 1514.0)	(33.0, 2702.0)	(34.0, 4823.0)	(35.0, 7988.0)	(36.0, 15939.0)	(37.0, 34003.0)	
sample13231_S47_L001_R1_001	(28.0, 3.0)	(29.0, 30.0)	(30.0, 116.0)	(31.0, 370.0)	(32.0, 970.0)	(33.0, 2112.0)	(34.0, 4150.0)	(35.0, 6759.0)	(36.0, 11248.0)	(37.0, 67967.0)			
sample13231_S47_L001_R2_001	(26.0, 4.0)	(27.0, 12.0)	(28.0, 68.0)	(29.0, 155.0)	(30.0, 295.0)	(31.0, 715.0)	(32.0, 1369.0)	(33.0, 2708.0)	(34.0, 5003.0)	(35.0, 8922.0)	(36.0, 18367.0)	(37.0, 56107.0)	
sample13232_S48_L001_R1_001	(26.0, 1.0)	(27.0, 2.0)	(28.0, 7.0)	(29.0, 54.0)	(30.0, 284.0)	(31.0, 825.0)	(32.0, 2222.0)	(33.0, 5389.0)	(34.0, 10501.0)	(35.0, 17427.0)	(36.0, 29331.0)	(37.0, 149621.0)	
sample13232_S48_L001_R2_001	(25.0, 1.0)	(26.0, 8.0)	(27.0, 44.0)	(28.0, 149.0)	(29.0, 467.0)	(30.0, 964.0)	(31.0, 1976.0)	(32.0, 3816.0)	(33.0, 7284.0)	(34.0, 13859.0)	(35.0, 24430.0)	(36.0, 47810.0)	(37.0, 114856.0)
sample13233_S49_L001_R1_001	(26.0, 1.0)	(27.0, 2.0)	(28.0, 47.0)	(29.0, 221.0)	(30.0, 919.0)	(31.0, 3061.0)	(32.0, 8151.0)	(33.0, 18567.0)	(34.0, 35239.0)	(35.0, 56384.0)	(36.0, 93247.0)	(37.0, 486566.0)	
sample13233_S49_L001_R2_001	(25.0, 1.0)	(26.0, 10.0)	(27.0, 70.0)	(28.0, 257.0)	(29.0, 643.0)	(30.0, 1649.0)	(31.0, 3738.0)	(32.0, 8650.0)	(33.0, 19661.0)	(34.0, 39090.0)	(35.0, 71861.0)	(36.0, 148285.0)	(37.0, 408490.0)
sample13234_S50_L001_R1_001	(29.0, 6.0)	(30.0, 25.0)	(31.0, 111.0)	(32.0, 269.0)	(33.0, 707.0)	(34.0, 1266.0)	(35.0, 2083.0)	(36.0, 3473.0)	(37.0, 18243.0)				
sample13234_S50_L001_R2_001	(27.0, 6.0)	(28.0, 15.0)	(29.0, 33.0)	(30.0, 102.0)	(31.0, 200.0)	(32.0, 456.0)	(33.0, 863.0)	(34.0, 1619.0)	(35.0, 2742.0)	(36.0, 5776.0)	(37.0, 14371.0)		
